genre;artist_id
tropical;4fCRFHEQgjqakvFgQCliMp
tropical house;2FwJwEswyIUAljqgjNSHgP
german pop;1sICjVlCMOCah0snHXWUz0
neo soul;1vaQ6v3pOFxAIrFoPrAcom
urban contemporary;0YWxKQj2Go9CGHCp77UOyy
colombian pop;5C4PDR4LnhZTbVnKWXuDKD
melodic dubstep;45eNHdiiabvmbp4erw26rg
electro bailando;2DomeFNWGJrzgtknWEbHVs
dutch trap pop;1NmZEnCbCyf1O1bkTXZhDB
albanian pop;1yMeFhow34xoUKZ7X97f9M
edm;3gk0OYeLFWYupGFRHqLSR7
dutch trap pop;4H7wgwp6mSTcg5Op2R8XW2
electronica;4e7qJTThm5uI3CplqZObfT
sertanejo pop;1D6vAeVUcgMbSx80IA3Zun
thai indie rock;7kM2bHp9WgqwOE4VUKAlRv
minnesota hip hop;2YOYua8FpudSEiB9s88IgQ
bolero;2Cy7KBSkqu7otJfuMTWT7Y
electro house;1vo8zHmO1KzkuU9Xxh6J7W
afroswing;3ijd7T9kkzgvfx1az6Z3wj
underground hip hop;6NL31G53xThQXkFs7lDpL5
spanish pop;1AaN24tRzIpDKK54IRtdIe
qawwali;3OLGltG8UPIea8sA4w0yg0
modern rock;4FZ3j1oH43e7cukCALsCwf
r&b;39mHYiNmLR7p8PXNG8Wll6
australian dance;4RVnAU35WRWra6OZ3CbbMA
electro latino;2CbZTubQz6tdFmZ3TDUwp7
vapor soul;4dYQmk5ma04mZ1KJ9KkAQK
german hip hop;3gkbRDj7pkIylWVBpRfrQf
indie anthem-folk;5gw5ANPCVcxU0maLiGRzzP
dutch pop;3Xvu1Rur46ZO8HiE9hBuxl
mexican rock;7okwEbXzyT2VffBmyQBWLz
new rave;59oA5WbbQvomJz2BuRG071
singer-songwriter;6zFYqv1mOsgBRQbae3JJ9e
dance pop;5ILrArfIV0tMURcHJN8Q07
dance pop;0haZhu4fFKt0Ag94kZDiz2
la pop;6iyadmF41vqU7NnBaVabfL
new wave pop;3nohf4qILMr5aUSOsolwxB
swedish hip hop;3ldCASdD4QRyfTt6lpPn6y
post-teen pop;2LJxr7Pt3JnP60eLxwbDOu
tropical house;7LbuenKfQNLPKzvi1rKPBG
pop house;6mUjbb9eMEXtOS9oSPwYjg
pop rap;2P3cjUru4H3fhSXXNxE9kA
reggaeton flow;3XAnU6uK5tWrQQd1K6FgfZ
